name,city,lat,lng,country,typology,number_of_articles,name_of_authors 1,name_of_authors 2,name_of_authors 3,name_of_authors 4,name_of_authors 5,name_of_authors 6,date 1,date 2,date 3,date 4,date 5,date 6,link
Aberdeen Free Press,"Aberdeen, Scotland",57.1498891,-2.0937528,Scotland,Advertisement,2,Katherine Hillard,Heloise Durant,,,,,18/02/1889,18/02/1889,,,,,https://www.britishnewspaperarchive.co.uk/titles/aberdeen-press-and-journal
Aberdeen Press and Journal ,"Aberdeen, Scotland",57.1498891,-2.0937528,Scotland,Advertisement,2,Margaret Oliphant,Mary Bradford,,,,,29/03/1879,22/01/1923,,,,,https://www.britishnewspaperarchive.co.uk/titles/aberdeen-press-and-journal
Abergavenny Chronicle ,"Abergavenny, Monmouthshire, Wales",51.825366,-3.019423,"Monmouthshire, Wales",Advertisement,1,Rose E. Selfe,,,,,,11/11/1987,,,,,,https://www.britishnewspaperarchive.co.uk/titles/abergavenny-chronicle
Barmouth & County Advertiser,"Barmouth, England",52.722873,-4.0560919,England,Advertisement,1,Mary Hensman,,,,,,21/10/1991,,,,,,https://www.britishnewspaperarchive.co.uk/titles/barmouth--county-advertiser
Bath Chronicle and Weekly Gazette ,"Bath, England",51.3781018,-2.3596827,England,Advertisement,1,Margaret Oliphant,,,,,,08/03/1877,,,,,,https://www.britishnewspaperarchive.co.uk/titles/bath-chronicle-and-weekly-gazette
Belfast News-Letter,"Belfast, Northern Ireland",54.59728500000001,-5.93012,Northern Ireland,Advertisement,1,susan Cunnington,,,,,,29/01/2018,,,,,,https://www.britishnewspaperarchive.co.uk/titles/belfast-newsletter
Beverley and East Riding Recorder,"Beverley,",53.841963,-0.435093,,Advertisement,1,Rose E. Selfe,,,,,,24/12/1987,,,,,,https://www.britishnewspaperarchive.co.uk/titles/beverley-and-east-riding-recorder
Birmingham Daily Gazette,"Birmingham, England",52.48624299999999,-1.890401,England,Advertisement,2,Mary Macgregor,Margaret Oliphant,,,,,23/12/1909,13/09/1898,,,,,https://www.britishnewspaperarchive.co.uk/titles/birmingham-daily-gazette
Birmingham Daily Post ,"Birmingham, England",52.48624299999999,-1.890401,England,Advertisement,2,Evelyn Paul,Emily Underdown,,,,,19/11/1915,29/12/1894,,,,,https://www.britishnewspaperarchive.co.uk/titles/birmingham-daily-post
Bristol Times and Mirror,"Bristol, England",51.454513,-2.58791,England,Advertisement,1,Margaret Oliphant,,,,,,11/06/1998,,,,,,https://www.britishnewspaperarchive.co.uk/titles/bristol-times-and-mirror
Chepstow Weekly Advertiser,"Chepstow, Monmouthshire, Wales",51.641856,-2.673804,"Monmouthshire, Wales",Advertisement,1,Mary Hensman,,,,,,24/10/1991,,,,,,
Civil & Military Gazette (Lahore),"Lahore, India",31.5203696,74.35874729999999,India,Advertisement,,,,,,,,,,,,,,https://www.britishnewspaperarchive.co.uk/titles/civil--military-gazette-lahore
"Congleton & Macclesfield Mercury, and Cheshire General Advertiser","Congleton, England",53.162856,-2.218923,England,Advertisement,1,Emily Underdown,,,,,,22/12/1994,,,,,,https://www.britishnewspaperarchive.co.uk/titles/congleton--macclesfield-mercury-and-cheshire-general-advertiser
Cordelia ,"Firenze, Italy",43.7695604,11.2558136,Italy,Advertisement,,,,,,,,,,,,,,
Coventry Herald ,"Coventry, England",52.4128163,-1.5089521,England,Advertisement,1,Susan Cunnington,,,,,,13/10/2012,,,,,,https://www.britishnewspaperarchive.co.uk/titles/coventry-herald
Croydon Chronicle and East Surrey Advertiser ,"London, England",51.5072178,-0.1275862,England,Advertisement,1,susan Cunnington,,,,,,01/11/2010,,,,,,https://www.britishnewspaperarchive.co.uk/titles/croydon-chronicle-and-east-surrey-advertiser
Cumberland & Westmorland Herald,"Penrith, England",54.664097,-2.752708,England,Advertisement,1,Rose E. Selfe,,,,,,05/11/1987,,,,,,https://www.britishnewspaperarchive.co.uk/titles/cumberland--westmorland-herald
Daily Telegraph & Courier (London) ,"London, England",51.5072178,-0.1275862,England,Advertisement,4,marian Andrews,Rosemary Cotes,Catherine Potter,Emily Underdown,,,13/12/1905,18/11/1898,27/07/1898,,,,
Daily News,"London, England",51.5072178,-0.1275862,England,Advertisement,1,Maria Francesca Rossetti,,,,,,23/08/1997,,,,,,https://www.britishnewspaperarchive.co.uk/titles/daily-news-london
Derby Mercury,"Derby, England",52.9225301,-1.4746186,England,Advertisement,2,Maria Francesca Rossetti,Emily Underdown,,,,,01/08/1894,20/04/1898,,,,,https://www.britishnewspaperarchive.co.uk/titles/derby-mercury
Dublin Weekly Nation,"Dublin, Ireland",53.3498053,-6.2603097,Ireland,Advertisement,2,Margaret Oliphant,Margaret Oliphant,,,,,04/08/1977,28/07/1977,,,,,https://www.britishnewspaperarchive.co.uk/titles/dublin-weekly-nation
Dundee Courier ,"Dundee, Scotland",56.462018,-2.970721,Scotland,Advertisement,3,Mary Macgregor,Catherine Potter,Catherine Potter,,,,03/12/1912,26/01/1898,23/03/1907,,,,https://www.britishnewspaperarchive.co.uk/titles/dundee-courier
