"","name","city","lat","lng","country","typology","number_of_articles","name_of_authors.1","name_of_authors.2","name_of_authors.3","name_of_authors.4","name_of_authors.5","name_of_authors.6","date.1","date.2","date.3","date.4","date.5","date.6","link"
"1","Aberdeen Free Press","Aberdeen, Scotland",57.158285411244,-2.08914615919078,"Scotland","Advertisement","2","Katherine Hillard","Heloise Durant","","","","","18/02/1889","18/02/1889","","",NA,NA,"https://www.britishnewspaperarchive.co.uk/titles/aberdeen-press-and-journal"
"2","Aberdeen Press and Journal ","Aberdeen, Scotland",57.1487572798847,-2.09438073184072,"Scotland","Advertisement","2","Margaret Oliphant","Mary Bradford","","","","","29/03/1879","22/01/1923","","",NA,NA,"https://www.britishnewspaperarchive.co.uk/titles/aberdeen-press-and-journal"
"3","Abergavenny Chronicle ","Abergavenny, Monmouthshire, Wales",51.8157602114208,-3.01262667222186,"Monmouthshire, Wales","Advertisement","1","Rose E. Selfe","","","","","","11/11/1987","","","",NA,NA,"https://www.britishnewspaperarchive.co.uk/titles/abergavenny-chronicle"
"4","Barmouth & County Advertiser","Barmouth, England",52.7227298979232,-4.05542771785299,"England","Advertisement","1","Mary Hensman","","","","","","21/10/1991","","","",NA,NA,"https://www.britishnewspaperarchive.co.uk/titles/barmouth--county-advertiser"
"5","Bath Chronicle and Weekly Gazette ","Bath, England",51.3850423803224,-2.36298210417781,"England","Advertisement","1","Margaret Oliphant","","","","","","08/03/1877","","","",NA,NA,"https://www.britishnewspaperarchive.co.uk/titles/bath-chronicle-and-weekly-gazette"
"6","Belfast News-Letter","Belfast, Northern Ireland",54.5955186822292,-5.93123366263125,"Northern Ireland","Advertisement","1","susan Cunnington","","","","","","29/01/2018","","","",NA,NA,"https://www.britishnewspaperarchive.co.uk/titles/belfast-newsletter"
"7","Beverley and East Riding Recorder","Beverley,",53.8364266982819,-0.429749249997206,"","Advertisement","1","Rose E. Selfe","","","","","","24/12/1987","","","",NA,NA,"https://www.britishnewspaperarchive.co.uk/titles/beverley-and-east-riding-recorder"
"8","Birmingham Daily Gazette","Birmingham, England",52.4923962777781,-1.88180086073133,"England","Advertisement","2","Mary Macgregor","Margaret Oliphant","","","","","23/12/1909","13/09/1898","","",NA,NA,"https://www.britishnewspaperarchive.co.uk/titles/birmingham-daily-gazette"
"9","Birmingham Daily Post ","Birmingham, England",52.4812294102062,-1.88760142124391,"England","Advertisement","2","Evelyn Paul","Emily Underdown","","","","","19/11/1915","29/12/1894","","",NA,NA,"https://www.britishnewspaperarchive.co.uk/titles/birmingham-daily-post"
"10","Bristol Times and Mirror","Bristol, England",51.4529551367338,-2.58748986407448,"England","Advertisement","1","Margaret Oliphant","","","","","","11/06/1998","","","",NA,NA,"https://www.britishnewspaperarchive.co.uk/titles/bristol-times-and-mirror"
"11","Chepstow Weekly Advertiser","Chepstow, Monmouthshire, Wales",51.6390890178413,-2.66888117893925,"Monmouthshire, Wales","Advertisement","1","Mary Hensman","","","","","","24/10/1991","","","",NA,NA,""
"12","Civil & Military Gazette (Lahore)","Lahore, India",31.5164032508835,74.3642371435855,"India","Advertisement","","","","","","","","","","","",NA,NA,"https://www.britishnewspaperarchive.co.uk/titles/civil--military-gazette-lahore"
"13","Congleton & Macclesfield Mercury, and Cheshire General Advertiser","Congleton, England",53.1635283622046,-2.21798911662824,"England","Advertisement","1","Emily Underdown","","","","","","22/12/1994","","","",NA,NA,"https://www.britishnewspaperarchive.co.uk/titles/congleton--macclesfield-mercury-and-cheshire-general-advertiser"
"14","Cordelia ","Firenze, Italy",43.7652926662557,11.2609862788841,"Italy","Advertisement","","","","","","","","","","","",NA,NA,""
"15","Coventry Herald ","Coventry, England",52.4097300932919,-1.50720556105732,"England","Advertisement","1","Susan Cunnington","","","","","","13/10/2012","","","",NA,NA,"https://www.britishnewspaperarchive.co.uk/titles/coventry-herald"
"16","Croydon Chronicle and East Surrey Advertiser ","London, England",51.513841191686,-0.129446077170064,"England","Advertisement","1","susan Cunnington","","","","","","01/11/2010","","","",NA,NA,"https://www.britishnewspaperarchive.co.uk/titles/croydon-chronicle-and-east-surrey-advertiser"
"17","Cumberland & Westmorland Herald","Penrith, England",54.6578323642145,-2.75905425118226,"England","Advertisement","1","Rose E. Selfe","","","","","","05/11/1987","","","",NA,NA,"https://www.britishnewspaperarchive.co.uk/titles/cumberland--westmorland-herald"
"18","Daily Telegraph & Courier (London) ","London, England",51.5042468568145,-0.1312507166995,"England","Advertisement","4","marian Andrews","Rosemary Cotes","Catherine Potter","Emily Underdown","","","13/12/1905","18/11/1898","27/07/1898","",NA,NA,""
"19","Daily News","London, England",51.5047664175157,-0.122011727639687,"England","Advertisement","1","Maria Francesca Rossetti","","","","","","23/08/1997","","","",NA,NA,"https://www.britishnewspaperarchive.co.uk/titles/daily-news-london"
"20","Derby Mercury","Derby, England",52.9189765345621,-1.4733701755184,"England","Advertisement","2","Maria Francesca Rossetti","Emily Underdown","","","","","01/08/1894","20/04/1898","","",NA,NA,"https://www.britishnewspaperarchive.co.uk/titles/derby-mercury"
